## last updated: Wed Oct 18 11:10:09 CEST 2017
## please contact us if you know your 
## organism is part of the RefSeq database 
## and has an ID in the RefSeq format but 
## is not present in this list, or is
## missing IDs 

RefSeq-IDs	organism-name

NC_002163	Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819
NC_016830	Pseudomonas_fluorescens_F113
NC_003198 NC_003384 NC_003385	Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18
NC_003902	Xanthomonas_campestris_pv._campestris_str._ATCC_33913
NC_003143 NC_003131 NC_003134 NC_003132	Yersinia_pestis_CO92
NC_007795	Staphylococcus_aureus_subsp._aureus_NCTC_8325
NC_004461 NC_005008 NC_005007 NC_005006 NC_005005 NC_005004 NC_005003	Staphylococcus_epidermidis_ATCC_12228
NC_002662	Lactococcus_lactis_subsp._lactis_Il1403
NC_004722 NC_004721	Bacillus_cereus_ATCC_14579
NC_008261	Clostridium_perfringens_ATCC_13124
NC_003210	Listeria_monocytogenes_EGD-e
NC_002944	Mycobacterium_avium_subsp._paratuberculosis_K-10
NC_004572	Tropheryma_whipplei_str._Twist
NC_009053	Actinobacillus_pleuropneumoniae_serovar_5b_str._L20
NC_005042	Prochlorococcus_marinus_subsp._marinus_str._CCMP1375
NC_000907	Haemophilus_influenzae_Rd_KW20
NC_000962	Mycobacterium_tuberculosis_H37Rv
NC_002695 NC_002128 NC_002127	Escherichia_coli_O157:H7_str._Sakai
NC_000915	Helicobacter_pylori_26695
NC_000922	Chlamydophila_pneumoniae_CWL029
NC_004061	Buchnera_aphidicola_str._Sg_(Schizaphis_graminum)
NC_003112	Neisseria_meningitidis_MC58
NC_002488 NC_002489 NC_002490	Xylella_fastidiosa_9a5c
NC_002737	Streptococcus_pyogenes_M1_GAS
NC_003098	Streptococcus_pneumoniae_R6
NC_020800 NC_020801 NC_020798 NC_020797	Xanthomonas_axonopodis_Xac29-1
NC_004342 NC_004343	Leptospira_interrogans_serovar_Lai_str._56601
NC_011985 NC_011983 NC_011994 NC_011990 NC_011987	Agrobacterium_radiobacter_K84
NC_003454	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586
NC_003997	Bacillus_anthracis_str._Ames
NC_004337 NC_004851	Shigella_flexneri_2a_str._301
NC_004307 NC_004943	Bifidobacterium_longum_NCC2705
NC_010519	Haemophilus_somnus_2336
NC_007005	Pseudomonas_syringae_pv._syringae_B728a
NC_004116	Streptococcus_agalactiae_2603V/R
NC_002516	Pseudomonas_aeruginosa_PAO1
NZ_CP014636 NZ_CP014637 NZ_CP014638	Vibrio_vulnificus
NC_007295	Mycoplasma_hyopneumoniae_J
NC_012926 NC_012923	Streptococcus_suis_BM407
NC_008639	Chlorobium_phaeobacteroides_DSM_266
NC_008711 NC_008712 NC_008713	Paenarthrobacter_aurescens_TC1
NZ_CP009257	Acinetobacter_baumannii
NC_012026	Anaplasma_marginale_str._Florida
NC_006270	Bacillus_licheniformis_DSM_13_=_ATCC_14580
NC_006347 NC_006297	Bacteroides_fragilis_YCH46
NC_007606 NC_009344 NC_007607	Shigella_dysenteriae_Sd197
NC_002942	Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1
NC_007384 NC_009345 NC_009346 NC_009347 NC_007385	Shigella_sonnei_Ss046
